date,id,tweet
2020-02-04T18:08:59.000Z,1224756751586734080,"I’m planning my trip to Japan later this month (😁) - how easy is it to access WiFi when I’m there?

I’m guessing fairly easy but do I need a WiFi dongle instead? Don’t fancy trying to get around without maps 😂

#travel #traveltribe #traveltips #travelblogger #travelblog https://t.co/vnQZ7gPn4I",
2020-02-04T18:08:04.000Z,1224756522036748294,Daughter flies home from China tomorrow. #phew,
2020-02-04T18:00:21.000Z,1224754578815627265,"Fredo said, ""I'm not racist I have Chinese friends"", are you lot really being this obtuse? https://t.co/znROqvwnk4",
2020-02-04T17:59:39.000Z,1224754402973622273,"After 10 days of community imposed #lockdown this morning Hangzhou formally implement legal lockdown https://t.co/52SAXytwLv 
6hrs later @foreignoffice 
@DominicRaab announce ""leave if you can"" Just spoken to FCO been advised if City on Lockdown China Notice must take precedence https://t.co/sDkFTeif7O",
2020-02-04T17:59:23.000Z,1224754335420239873,"Hei @BorisJohnson @MattHancock

Just checking on the progress of *New Hospital No' 1*

The Putin wing should be well on the way by now I expect

Maybe you can get a time lapse video up, like the Chinese did with theirs

Be sure to invite @NHSMillion to Saturdays opening ceremony https://t.co/92CIMfa3uF",
2020-02-04T17:57:02.000Z,1224753745604382720,PA Headline https://t.co/lckm4peJ0b https://t.co/H1IMkdqX5I,
2020-02-04T17:55:52.000Z,1224753452426956800,@imshin Can people from Gaza fly to China?,
2020-02-04T17:54:49.000Z,1224753189905477632,"@DominicRaab @COP26 Advising 30,000 British people living in China to get out of the country ASAP is not how you prevent a pandemic. How are you planning to quarantine this number of people?",
2020-02-04T17:52:45.000Z,1224752669358743553,"Everyone’s entitled to an opinion but this attitude is beyond gross in 2020. Symptomatic of speakers of a language that reigned unofficially as a global lingua franca for many years, but which is quickly being supplanted by Spanish, French, Portuguese, Chinese...#LanguagesMatter https://t.co/7vpE6haIha",
2020-02-04T17:52:39.000Z,1224752641902829568,Talking to a supplier today and sad to learn that they use Brazilian and Thai chicken in their products as British would be too expensive. This is partly why we don't sell any chicken products #BackBritishFarming,
2020-02-04T17:51:03.000Z,1224752238394073091,With the #borehole complete we are now ready to link it to a #water storage tank and connecting pipe work. We’re sure our #elephants and #vets will welcome the reliable supply of clean water. #conservation #Thailand #Phuket #veterinary https://t.co/ig9eAe7CZB,
2020-02-04T17:50:32.000Z,1224752112120233989,"@MattHancock Advising 30,000 British people living in China to get out of the country ASAP is not how you prevent a pandemic. How are you planning to quarantine this number of people?",
2020-02-04T17:50:27.000Z,1224752090783920129,Millions of dogs slaughtered for meat in 'drowning pits' in Cambodia https://t.co/AADWAtiPqu via @MailOnline #whatnext #coronavirus#2,
2020-02-04T17:46:09.000Z,1224751007537750017,"Jeju Mayor: Jeju, South Korea, Shut down the illegal dog meat farms, slaughterhouses and markets. - Sign the Petition! https://t.co/wp3EwpGAX7 via @UKChange",
2020-02-04T17:44:52.000Z,1224750682906992640,Asians (Koreans) and their fashion sense. I'm blown away. These guys never slack. Wow.,
2020-02-04T17:43:15.000Z,1224750278299332608,@JimMarous @BrettKing @FinancialBrand @ipfconline1 @psb_dc @mattldooley @SpirosMargaris @Huawei @rshevlin @guzmand @AlexH_Johnson @provokemgmt @KirkDBorne @evankirstel @Huawei_Europe @dgwbirch Yup China’s #fintech going viral,
2020-02-04T17:41:55.000Z,1224749942759215105,@SapperPantsoff @DarrinLBouch I thought they were owned by the Chinese now. Probably an algorithm.,
2020-02-04T17:40:11.000Z,1224749505146429452,@CelticF1rst When does the chinese transfer market close? What other window is open?,
