date	tweetCount
2020-08-19 00:00:00+00:00	378
2020-08-20 00:00:00+00:00	355
2020-08-21 00:00:00+00:00	336
2020-08-22 00:00:00+00:00	298
2020-08-23 00:00:00+00:00	349
2020-08-24 00:00:00+00:00	352
2020-08-25 00:00:00+00:00	388
2020-08-26 00:00:00+00:00	377
2020-08-27 00:00:00+00:00	357
2020-08-28 00:00:00+00:00	356
2020-08-29 00:00:00+00:00	371
2020-08-30 00:00:00+00:00	321
2020-08-31 00:00:00+00:00	357
2020-09-01 00:00:00+00:00	310
2020-09-02 00:00:00+00:00	362
2020-09-03 00:00:00+00:00	332
2020-09-04 00:00:00+00:00	343
2020-09-05 00:00:00+00:00	369
2020-09-06 00:00:00+00:00	325
2020-09-07 00:00:00+00:00	336
2020-09-08 00:00:00+00:00	353
2020-09-09 00:00:00+00:00	370
2020-09-10 00:00:00+00:00	380
2020-09-11 00:00:00+00:00	571
2020-09-12 00:00:00+00:00	379
2020-09-13 00:00:00+00:00	387
2020-09-14 00:00:00+00:00	330
2020-09-15 00:00:00+00:00	324
2020-09-16 00:00:00+00:00	327
2020-09-17 00:00:00+00:00	333
2020-09-18 00:00:00+00:00	337
2020-09-19 00:00:00+00:00	350
2020-09-20 00:00:00+00:00	301
2020-09-21 00:00:00+00:00	314
2020-09-22 00:00:00+00:00	370
2020-09-23 00:00:00+00:00	336
2020-09-24 00:00:00+00:00	307
2020-09-25 00:00:00+00:00	364
2020-09-26 00:00:00+00:00	365
2020-09-27 00:00:00+00:00	324
2020-09-28 00:00:00+00:00	326
2020-09-29 00:00:00+00:00	294
2020-09-30 00:00:00+00:00	288
2020-10-01 00:00:00+00:00	351
2020-10-02 00:00:00+00:00	340
2020-10-03 00:00:00+00:00	347
2020-10-04 00:00:00+00:00	320
2020-10-05 00:00:00+00:00	284
2020-10-06 00:00:00+00:00	313
2020-10-07 00:00:00+00:00	385
2020-10-08 00:00:00+00:00	390
2020-10-09 00:00:00+00:00	328
2020-10-10 00:00:00+00:00	349
2020-10-11 00:00:00+00:00	311
2020-10-12 00:00:00+00:00	328
2020-10-13 00:00:00+00:00	321
2020-10-14 00:00:00+00:00	335
2020-10-15 00:00:00+00:00	298
2020-10-16 00:00:00+00:00	353
2020-10-17 00:00:00+00:00	382
2020-10-18 00:00:00+00:00	329
2020-10-19 00:00:00+00:00	314
2020-10-20 00:00:00+00:00	361
2020-10-21 00:00:00+00:00	399
2020-10-22 00:00:00+00:00	351
2020-10-23 00:00:00+00:00	405
2020-10-24 00:00:00+00:00	368
2020-10-25 00:00:00+00:00	322
2020-10-26 00:00:00+00:00	337
2020-10-27 00:00:00+00:00	453
2020-10-28 00:00:00+00:00	406
2020-10-29 00:00:00+00:00	376
2020-10-30 00:00:00+00:00	306
2020-10-31 00:00:00+00:00	448
